PROPERTY NAME,BRAND,BRANCH,PARENT SITE,AREA,REGION,TYPE,FULL ADDRESS,EXACT LOCATION,LAT,LON,SOURCE,LOCATION CONFIDENCE,REP,VISIT DATE,OUTCOME,REQUIREMENT,COMPETITOR/VENDOR,PRICING,CONTACT ROLE,CONTACT NAME,CONTACT EMAIL,CONTACT PHONE,FOLLOW-UP,REMARKS,LOGGED_LAT,LOGGED_LON,OVERLAP_FLAG,OVERLAP_REP,DATA_STATUS,OWNER_REP,PROPERTY_STATUS
Orion Tech Park,Orion,Whitefield,"100 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"100 Whitefield Main Road, Bengaluru",Building 2,12.9643,77.755328,synthetic_demo,high,Rep A,2026-04-01,Opportunity,30 two-wheeler spaces,Urban Parking Solutions,Quote requested,Facility Manager,Contact Person 001,contact001@example.com,+91-90000-10000,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.964007047575665,77.75506538246533,No,,Synthetic Demo,Rep A,Opportunity
Vertex Coworking Workspace,Vertex,Mahadevapura,"101 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Coworking Space,"101 Mahadevapura Main Road, Bengaluru",Main Block,12.992591,77.707632,synthetic_demo,high,Rep B,2026-05-04,Follow-up,Visitor parking requirement,None,,Admin Manager,Contact Person 002,contact002@example.com,+91-90000-10001,email_follow_up,Conversation started; next action required.,12.992326580606129,77.70752498125171,No,,Synthetic Demo,Rep B,Follow-up
Summit Business Park,Summit,Brookefield,"102 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Business Park,"102 Brookefield Main Road, Bengaluru",Tower C,12.970402,77.710063,synthetic_demo,high,Rep C,2026-06-07,Opportunity,Additional visitor parking,MetroValet,Quote requested,Operations Manager,Contact Person 003,contact003@example.com,+91-90000-10002,quote_requested,Meaningful business conversation completed; requirement identified.,12.970352322572955,77.70999787928999,No,,Synthetic Demo,Rep C,Opportunity
Apex Corporate Centre,Apex,Marathahalli,"103 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Corporate Office,"103 Marathahalli Main Road, Bengaluru",Building 1,12.964714,77.698837,synthetic_demo,high,Rep D,2026-07-10,Not Interested,,SecurePark,,Property Manager,Contact Person 004,contact004@example.com,+91-90000-10003,none,Contacted; no interest at present.,12.964875062142818,77.69889978615592,No,,Synthetic Demo,,Not Interested
Nova Tech Park,Nova,Bellandur,"104 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Tech Park,"104 Bellandur Main Road, Bengaluru",Main Block,12.922949,77.670511,synthetic_demo,high,Rep A,2026-08-13,Could Not Reach Decision Maker,,None,,Facility Manager,Contact Person 005,contact005@example.com,+91-90000-10004,contact_obtained,Initial contact made but decision maker unavailable.,12.923119201447907,77.67050076285905,No,,Synthetic Demo,,Open
Pioneer Coworking Workspace,Pioneer,Domlur,"105 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Coworking Space,"105 Domlur Main Road, Bengaluru",Main Block,12.962896,77.635956,synthetic_demo,high,Rep B,2026-04-16,No Requirement,,MetroValet,,Admin Manager,Contact Person 006,contact006@example.com,+91-90000-10005,none,No current parking requirement. Contact retained for future outreach.,12.962685502757676,77.63574159545989,No,,Synthetic Demo,,No Requirement
Cedar Business Park,Cedar,Koramangala,"106 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Business Park,"106 Koramangala Main Road, Bengaluru",Tower B,12.931468,77.621643,synthetic_demo,high,Rep C,2026-05-19,Opportunity,20 car parking spaces,Urban Parking Solutions,Quote requested,Operations Manager,Contact Person 007,contact007@example.com,+91-90000-10006,proposal_requested,Meaningful business conversation completed; requirement identified.,12.93147401382066,77.62135450408496,No,,Synthetic Demo,Rep C,Opportunity
Infinity Corporate Centre,Infinity,HSR Layout,"107 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Corporate Office,"107 HSR Layout Main Road, Bengaluru",Tower C,12.915167,77.650695,synthetic_demo,high,Rep D,2026-06-22,No Requirement,,Urban Parking Solutions,,Property Manager,Contact Person 008,contact008@example.com,+91-90000-10007,none,No current parking requirement. Contact retained for future outreach.,12.91484985776221,77.65089912576177,No,,Synthetic Demo,,No Requirement
Meridian Tech Park,Meridian,Indiranagar,"108 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Tech Park,"108 Indiranagar Main Road, Bengaluru",Tower C,12.97958,77.64128,synthetic_demo,high,Rep A,2026-07-25,No Requirement,,MetroValet,,Facility Manager,Contact Person 009,contact009@example.com,+91-90000-10008,none,No current parking requirement. Contact retained for future outreach.,12.979895985627092,77.6415458980359,No,,Synthetic Demo,,No Requirement
UrbanHive Coworking Workspace,UrbanHive,Electronic City,"109 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Coworking Space,"109 Electronic City Main Road, Bengaluru",Building 2,12.845217,77.657702,synthetic_demo,high,Rep B,2026-08-01,No Requirement,,MetroValet,,Admin Manager,Contact Person 010,contact010@example.com,+91-90000-10009,none,No current parking requirement. Contact retained for future outreach.,12.845283623560562,77.6579625753673,No,,Synthetic Demo,,No Requirement
