PROPERTY NAME,BRAND,BRANCH,PARENT SITE,AREA,REGION,TYPE,FULL ADDRESS,LAT,LON,SOURCE,LOCATION CONFIDENCE,REP,VISIT DATE,OUTCOME,REQUIREMENT,COMPETITOR/VENDOR,PRICING,CONTACT ROLE,CONTACT NAME,CONTACT PHONE,FOLLOW-UP,REMARKS,LOGGED_LAT,LOGGED_LON,OVERLAP_FLAG,OVERLAP_REP,DATA_STATUS
Orion Tech Park,Orion,Whitefield,,Whitefield,East Bengaluru,Tech Park,"100, Whitefield Main Road, Bengaluru",12.971473,77.7442,synthetic_demo,high,Rep A,2026-04-01,Access Blocked,,Urban Parking Solutions,Not discussed,Property Manager,Contact 001,+91-90000-10000,Call facility manager,Security team redirected the enquiry.,12.971252,77.744996,No,,Synthetic Demo
Vertex Business Park,Vertex,Mahadevapura,,Mahadevapura,East Bengaluru,Coworking Space,"101, Mahadevapura Main Road, Bengaluru",12.9909,77.700879,synthetic_demo,high,Rep B,2026-04-04,No Requirement,,None,,Facility Manager,Contact 002,+91-90000-10001,Check requirement next month,Parking demand appears higher during peak hours.,12.991104,77.701346,No,,Synthetic Demo
Summit Tech Campus,Summit,Brookefield,,Brookefield,East Bengaluru,Business Park,"102, Brookefield Main Road, Bengaluru",12.971838,77.71712,synthetic_demo,high,Rep C,2026-04-07,Competitor,,SecurePark,Not discussed,Property Manager,Contact 003,+91-90000-10002,,Security team redirected the enquiry.,12.971885,77.717874,No,,Synthetic Demo
Apex Corporate Hub,Apex,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"103, Marathahalli Main Road, Bengaluru",12.963806,77.692443,synthetic_demo,high,Rep D,2026-04-10,Operational Inefficiency,20 car parking spaces,Urban Parking Solutions,Budget discussion,Operations Manager,Contact 004,+91-90000-10003,,Initial discussion completed.,12.963476,77.691896,No,,Synthetic Demo
BlueStone Business Centre,BlueStone,Bellandur,,Bellandur,South-East Bengaluru,Tech Park,"104, Bellandur Main Road, Bengaluru",12.924063,77.670758,synthetic_demo,high,Rep A,2026-04-13,Opportunity,Overflow parking solution,Urban Parking Solutions,Quote requested,Property Manager,Contact 005,+91-90000-10004,Call facility manager,Initial discussion completed.,12.924656,77.670436,No,,Synthetic Demo
Nova Tech Garden,Nova,Domlur,,Domlur,East Bengaluru,Coworking Space,"105, Domlur Main Road, Bengaluru",12.957524,77.638764,synthetic_demo,high,Rep B,2026-04-16,Space Shortage,Valet support during peak hours,ParkPro Services,Budget discussion,Admin Manager,Contact 006,+91-90000-10005,Share proposal,Existing parking arrangement is currently being reviewed.,12.95825,77.63944,No,,Synthetic Demo
Pioneer Coworking Hub,Pioneer,Koramangala,,Koramangala,South Bengaluru,Business Park,"106, Koramangala Main Road, Bengaluru",12.929518,77.620886,synthetic_demo,high,Rep C,2026-04-19,Opportunity,Valet support during peak hours,SecurePark,,Facility Manager,Contact 007,+91-90000-10006,Revisit next week,Facility team requested more details.,12.930124,77.621417,No,,Synthetic Demo
EastPoint Workspaces,EastPoint,HSR Layout,,HSR Layout,South-East Bengaluru,Corporate Office,"107, HSR Layout Main Road, Bengaluru",12.913399,77.647939,synthetic_demo,high,Rep D,2026-04-22,Follow-up,,None,Quote requested,Property Manager,Contact 008,+91-90000-10007,Share proposal,Initial discussion completed.,12.912736,77.647917,No,,Synthetic Demo
Cedar Business Park,Cedar,Indiranagar,,Indiranagar,East Bengaluru,Tech Park,"108, Indiranagar Main Road, Bengaluru",12.975045,77.641871,synthetic_demo,high,Rep A,2026-04-25,Opportunity,Valet support during peak hours,ParkPro Services,Not discussed,Property Manager,Contact 009,+91-90000-10008,,Parking demand appears higher during peak hours.,12.974669,77.642467,No,,Synthetic Demo
Infinity Corporate Plaza,Infinity,Electronic City,,Electronic City,South Bengaluru,Coworking Space,"109, Electronic City Main Road, Bengaluru",12.848913,77.654278,synthetic_demo,high,Rep B,2026-04-28,Competitor,,Urban Parking Solutions,Quote requested,Operations Manager,Contact 010,+91-90000-10009,Share proposal,Security team redirected the enquiry.,12.849705,77.654518,No,,Synthetic Demo
